127.0.0.1 - - [22/Jun/2017:09:38:46 +0530] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [22/Jun/2017:09:38:47 +0530] "GET /toDoApp_2017/ HTTP/1.1" 200 3388
127.0.0.1 - - [22/Jun/2017:09:38:47 +0530] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [22/Jun/2017:09:38:47 +0530] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [22/Jun/2017:09:39:11 +0530] "POST /toDoApp_2017/signIn HTTP/1.1" 200 20
127.0.0.1 - - [22/Jun/2017:09:39:11 +0530] "GET /toDoApp_2017/ HTTP/1.1" 200 3388
127.0.0.1 - - [22/Jun/2017:09:39:12 +0530] "GET /toDoApp_2017/getNotes HTTP/1.1" 200 862
127.0.0.1 - - [22/Jun/2017:09:39:38 +0530] "GET /toDoApp_2017/template/collaborator.html HTTP/1.1" 304 -
127.0.0.1 - - [22/Jun/2017:09:44:54 +0530] "POST /toDoApp_2017/signOut HTTP/1.1" 200 32
127.0.0.1 - - [22/Jun/2017:09:45:21 +0530] "POST /toDoApp_2017/signIn HTTP/1.1" 200 20
127.0.0.1 - - [22/Jun/2017:09:45:21 +0530] "GET /toDoApp_2017/ HTTP/1.1" 200 3388
127.0.0.1 - - [22/Jun/2017:09:45:21 +0530] "GET /toDoApp_2017/getNotes HTTP/1.1" 200 862
127.0.0.1 - - [22/Jun/2017:09:49:16 +0530] "GET /toDoApp_2017/ HTTP/1.1" 200 3388
127.0.0.1 - - [22/Jun/2017:09:49:16 +0530] "GET /toDoApp_2017/ HTTP/1.1" 200 3388
127.0.0.1 - - [22/Jun/2017:09:49:17 +0530] "GET /toDoApp_2017/getNotes HTTP/1.1" 200 862
127.0.0.1 - - [22/Jun/2017:09:49:24 +0530] "GET /toDoApp_2017/template/popUp.html HTTP/1.1" 304 -
127.0.0.1 - - [22/Jun/2017:09:49:49 +0530] "POST /toDoApp_2017/update HTTP/1.1" 200 27
127.0.0.1 - - [22/Jun/2017:09:49:52 +0530] "GET /toDoApp_2017/ HTTP/1.1" 200 3388
127.0.0.1 - - [22/Jun/2017:09:49:52 +0530] "GET /toDoApp_2017/getNotes HTTP/1.1" 200 861
127.0.0.1 - - [22/Jun/2017:09:49:52 +0530] "GET /toDoApp_2017/getNotes HTTP/1.1" 200 861
127.0.0.1 - - [22/Jun/2017:09:49:55 +0530] "POST /toDoApp_2017/update HTTP/1.1" 200 27
127.0.0.1 - - [22/Jun/2017:09:49:59 +0530] "GET /toDoApp_2017/ HTTP/1.1" 200 3388
127.0.0.1 - - [22/Jun/2017:09:49:59 +0530] "GET /toDoApp_2017/getNotes HTTP/1.1" 200 862
127.0.0.1 - - [22/Jun/2017:09:50:02 +0530] "POST /toDoApp_2017/update HTTP/1.1" 200 27
